,topic,content
35,Modern Economic Nonsense — The self-fulfilling recession," 414 Followers Published in Coinmonks ·11 hours ago The global economy is in a tailspin. To make matters worse, everyone knows it will likely only get worse before it gets better. Consumers are afraid to spend, businesses are afraid to hire, and banks and investors are so scared to invest. In these times of peril, the best way… 6 min read Published in Coinmonks ·1 day ago The global stock market has been going through challenging times in recent years, as supply and demand have dipped at different points. However, as is often the case with a volatile industry, this dip has led to opportunities that would not have arisen if the market had stayed at a… 3 min read Published in Coinmonks ·2 days ago There is a difference between a recession and a slowdown. A recession is when the economy contracts for two straight quarters, not just one. A slowdown happens when the economy grows slower than usual. An engineering recession is when the central bank purposely slows down the economy to fight for… 5 min read Published in Coinmonks ·3 days ago We all knew the economy is going down 👇, and the best thing is you do not have a choice but to go down with it. What if you have an option to choose not to? The financial world is entering an era of digital transformation, driven by advancements in… 4 min read Published in Coinmonks ·4 days ago The current stock market is backward-looking and pessimistic about the future. The stock market has been the best-selling soap opera in recent years. Every move, every word, and every frown of the economic actors becomes an excuse to move stocks. In this context, we approach the end of 2021 with… 3 min read Published in Coinmonks ·5 days ago The greenback is no longer the world’s reserve currency ⚰️, and this is becoming evident by the day. Emerging economies are moving toward reducing their exposure to the dollar — some are even willing to pay a heavy price. The nations that make up the majority of the world economy… 4 min read Published in Coinmonks ·6 days ago The cryptocurrency market continued to see red 📉 after the recent sell-off. Bitcoin dropped almost 70% from its all-time high of $69,000 in mid-November, while the overall cryptocurrency market cap shed approximately $1.9 trillion. However, prices are showing signs of recovery. The total market cap has tanked below 1 trillion… 4 min read Published in Coinmonks ·Jun 15 Cats 🐱 are probably the most frugal and intelligent mammals on the planet. They know how to stalk, hunt, and catch their prey, how to ration their food supplies, when to conserve energy and cease all unnecessary activity, and when to give up and go home. In short, cats are… 4 min read Published in Coinmonks ·Jun 14 Yes, we are in the bear market 🐻, and it is not very good for digital currency traders. However, this is also an opportunity for new investors to enter the market at a lower price 🍻. There is a saying that ‘a crisis is an opportunity in disguise’, and this… 4 min read Published in Coinmonks ·Jun 13 The global economy is a house of cards. The 2008 financial crisis was just the first sign that things were not well. Since then, central banks have been artificially stimulating the global economy through quantitative easing and record-low interest rates to prevent another recession. But these measures cannot go on… 6 min read"
36,Keeping Up With the Economy," 181 Followers 11 hours ago Will there ever be a time in my life when I don’t live paycheck to paycheck? —  I understand I must sound like a broken record at this point, but when will this game of financial Russian roulette end? For fucks sake, my fiancé and I work societally relevant jobs — yes that's jobs — plural. I work as an adjunct professor teaching English as a Second… 3 min read 1 day ago How the issue of abortion shook my relationship —  As a left-leaning centrist, I am a stalwart supporter of the constitutional right that women should have to safe, legal abortion. My fiancé is a conservative Catholic and there is no doubt in his mind that abortion is murder. Trying to reconcile our beliefs and our love for one another… 5 min read 5 days ago Aren’t you just paying for a digital receipt? —  It was only a few months ago that the acronym NFT started to take the Internet by storm, despite having been around since 2014. I couldn’t go to any social media site without seeing something about this. What is it? NFT stands for Non-Fungible Token. That totally clears it up, right? In the… 4 min read Jun 14 And you’re not going to bully me into shutting up about it —  You read that right. I’m not going to be bullied into silence about the recent boom in young people coming out as trans, the decision to give children puberty blockers, or the decision to let trans women compete in sports alongside cisgender women. You can blow up the comment section… 7 min read Published in The Book Cafe ·Jun 12 It’s the rambling narrative that kills it for me. —  There’s something about a rambling narrator that grinds my gears. For the last few years, I’ve been working my way through “100 Books You Should Read Before You Die” lists, and finding there are just as many books that make me want to die. I know the following list will… 4 min read Published in The Orange Journal ·Jun 8 Fibromyalgia makes everything harder — even relationships —  Don’t get me wrong — I have an amazing fiancé. He is an incredibly generous and kind human being. He works with people who have intellectual disabilities, sings in the church choir, makes me laugh regularly, and cooks for me almost every night. He loves animals and there’s nothing he… 4 min read Published in New Writers Welcome ·Jun 7 Shut up about the Keystone XL Pipeline —  Gas prices are now at an all-time high in the United States. Taking my car to the pump has become a dreadful event for me, one I know will lead to frustration. I used to be able to fill my tank for $40, a time I look back on with… 5 min read Published in Amateur Book Reviews ·Jun 5 A story of terror suspending beyond conceivable tolerance teaches the importance of empathy —  American Dirt by Jeanine Cummins was one of my favorite reads of 2020, and probably one of my favorite books period. Cummins manages to keep your heart pounding through 378 pages of tragedy, terror, heartbreak, and masterful suspense. American Dirt does what I believe all great stories do: it digs… 5 min read Published in New Writers Welcome ·Jun 2 Some worked out, others were a waste of time —  Side hustles are becoming the new careers. These days, you can find blogs, newsletters, and podcasts dedicated to side hustle ideas scattered across the Internet. The term has become so ubiquitous that almost every other headline I read on Medium has something to do with how to generate passive income… 5 min read May 30 That’s what it sounds like: treating grown men like little babies, diaper changes and all. —  I think of myself as a side hustle queen. I’ve either done it or thought about it when it comes to making money. I am completely unashamed of this fact. Do I draw the line somewhere? Absolutely! But will I consider work that’s taboo if it means making bank? You… 5 min read"
37,How You Can Achieve 100 Followers in 3 Days," 219 Followers Published in Shorties But Goodies! ·16 hours ago You Are Blessed —  I woke up this morning thinking about everything I need to do today. My list is long — normal work duties and family commitments, plus the dog made a mess that needs cleaning up… I started working, turned on some music, and something caught my eye outside my window. Looking… 1 min read I woke up this morning thinking about everything I need to do today. My list is long — normal work duties and family commitments, plus the dog made a mess that needs cleaning up… I started working, turned on some music, and something caught my eye outside my window. Looking… -- -- 4 Published in In Fitness And In Health ·17 hours ago What we can do to hopefully be healthier and live longer —  Max Roser’s research found in, Why Is Life Expectancy in the US Lower Than In Other Rich Countries, explains: “Americans suffer higher death rates from smoking, obesity, homicides, opioid overdoses, suicides, road accidents, and infant deaths. … 4 min read Published in Anyone Can Write Online ·18 hours ago You Can Do This! —  As I wrote in my first piece about my experiences of being a new Medium writer (you can read about it in the link below), I am loving this platform! I’m getting to express myself in a format completely new to me and: I wish I had learned about Medium… 3 min read 18 hours ago Is It Worth It, Now? —  My husband and I decided it is the right time to buy our son his first car. He has worked really hard to have a high GPA and participates in sports so we’ve supported him not having a job. This means we are buying him a car. College isn’t too… 2 min read Published in New Writers Welcome ·2 days ago Tomato vs. Pepper! —  It’s late spring now, but a month ago I was bitten by the spring gardening bug. May was a bit late, but I figured I’d start small and better late than never. My husband and I actually went to Lowes initially for some new bushes and I got sidetracked. I… 3 min read Published in Coffee Times ·2 days ago I’m Forever Honored “We live for your smile! To make sure we are doing it right.” Can you believe someone was kind enough to express this to me today?! I’m ashamed to admit that when I heard this, I didn’t really think much of it. In retrospect, that seems like… 2 min read Published in Coffee Times ·3 days ago Inner Peace Is Possible I think most people can resonate with the emotion and feelings of anger and hurt that prevent forgiveness. When I say this, several situations that I have experienced come to mind and I expect the same is true for you. We naturally build up bitterness and… 2 min read Published in I, Mother. ·Updated 3 days ago Well, Not Really…. —  My son graduated from high school last week. Our only child. Once graduation season began in May, it seemed like the days dragged on so slowly until his early June graduation date. We were so busy with all kinds of things that needed to be done and events, but it… 2 min read Published in New Writers Welcome ·3 days ago The First 48 Hours —  Wow, I think I’m hooked on Medium! I can’t believe this exists. You have to understand — from the time I learned how to type, I’ve been expressing myself through writing — but more specifically, through typing! I’m not much of a talker. I really value those around me who… 2 min read Published in New Writers Welcome ·4 days ago 5 Responses —  People can be so rude! We all know this right? When I make this statement, I certainly include myself with all the people who can be so rude. Doesn’t it seem as though people are more rude than ever before? Sometimes I feel like its easy to be rude without… 3 min read"
38,"Microscopic mites live on your face. They’re parasites, but they want to be your friend!"," 2.3K Followers 5 hours ago Dozens of cases of dolphins attacking humans are reported each year. In the popular perception dolphins are intelligent and cheerful animals that frolic amiably in the waves. In Ancient Greece killing a dolphin was a death sentence and Australian Aborigines thought that these aquatic mammals were visitors from Sirius. … 12 min read 6 hours ago Scientists have sequenced the genome of a mite that lives exclusively on the human face. This creature has adapted so well to its host — us — that it has the potential to turn into a symbiotic organism, similar to the bacteria that live in the gut. Our guts are… 4 min read 1 day ago Researchers in Australia have found that using fans instead of air conditioning can contribute to the goals of the Paris Agreement. Summer has already arrived in Europe for good, and this means that more and more often we will struggle with the next heat waves. It is especially felt by… 4 min read 1 day ago A unique composition of elements has been found in the atmosphere of a white dwarf 86 light years away from Earth. It shows that the star has absorbed both inner planets, similar to the rocky planets in the Solar System, and icy objects from the outskirts of the system. How… 4 min read 2 days ago Camden Town is a mecca for artists and visitors with so-called open minds. How does the borough look half a century after its landmark decade? “Go to Camden Town. You’ll see colorful birds there,” was the recommendation I heard from locals on my first trip to London. After a few… 5 min read 2 days ago Night. Only the eyes and nostrils protrude from the water. The rest of the body is hidden under the surface, just off shore. The anaconda is waiting. When the thirsty animal approaches — it will throw itself, sink its teeth in and wrap its body so tightly that it will… 8 min read 3 days ago To see the most popular attractions in England, we must first of all go to London — but not only there! Is it worth it? Of course! There are many attractions waiting for us in England! England is a very diverse country, in whose various corners we can come across… 8 min read 4 days ago Athletes have always looked for ways to ensure that they win the highest laurels. Sometimes it was enough to slightly poison the opponent, and sometimes it was enough to drink a concoction with amphetamines and strychnine. Doping in sports is a constant arms race. Competition is nothing more than trying… 11 min read 5 days ago As it turns out, gin has more than one name. Below I will present 5 little-known interesting facts about this extremely popular drink which has been conquering bars all over the world for generations. 1. Where does the word “gin” come from? Gin is Dutch. The first producer of gin was Lucas Bols, who opened a distillery in… 3 min read 5 days ago Will we ever be able to make contact with alien civilizations? Chinese scientists say we may be on the right track. Do aliens exist? This question is increasingly being asked not only by science fiction fans, but also by scientists. … 4 min read"
39,7 Items I Can’t Live Without," 3.6K Followers Published in New Writers Welcome ·Pinned Life has some strange twists and turns! —  This is probably a bit of a shock to my readers, but not as much of a shock as it is for me. I always dreamed of being a millionaire. Now my dream is about to come true. In spectacular fashion. I woke up this morning and checked my emails… 3 min read Published in Build Your Wealth ·Pinned I’m sure it’s the right strategy for me (not for you) —  The world is starting to get more than a little scary at the moment. Stock markets are dropping sharply, crypto is crashing, inflation is decimating savings, there is a war in Ukraine, and governments are printing too much money. During scary times, I like to do two things. I like… 4 min read Pinned I’ll probably miss number 5 —  These days, it seems like everything is moving towards being digital. From the way we communicate with each other to the way we pay for things, it’s all becoming more and more convenient. But what does that mean for some of the things we take for granted? … 4 min read Published in The Side Hustle Club ·Pinned Live the life you deserve —  During the current cost of living crisis, many people are looking for ways to save money. Hell, I’ve even written about it myself. But it’s not the best solution to the problem. The problem Inflation is rising fast, and wages aren’t keeping up, so our money doesn’t go as far as it… 3 min read Published in Build Your Wealth ·Pinned Are you ahead or behind? —  Comparing myself to others always helps motivate me to make improvements in my life. That’s why I’m so fascinated by data like this. After all, I’m a data guy. Data helps drive my life. This data shows family net worth in America. This is not the net worth of individuals… 4 min read Published in Coffee Times ·22 hours ago Please don’t laugh at number 7 —  As my wife and I will be going traveling next month I started sorting through my possessions. I don’t have many, but still need to get rid of a few things. While sorting through the items it got me thinking about what I couldn’t live without. … 3 min read Published in Making of a Millionaire ·22 hours ago Make sure you’re one of the 10% that does follow these rules —  This article is not financial advice. It’s my opinion and is given for educational and recreational purposes only. Do your own research. You’re responsible for all the decisions that you make. Investing is relatively easy over the long term, but most people still get it wrong. Here are 7 rules… 4 min read Published in New Writers Welcome ·23 hours ago I’m hoping it’s just a summer slowdown —  June is turning into a tough month for me. My views are down around 90% and my stories haven’t been getting much traction lately. It’s not all roses here. I thought it would be good to post about the hard times of writing here so that new writers don’t think… 3 min read Published in ILLUMINATION ·2 days ago You have almost 50% less chance of dying if you can —  Researchers found that older people that can’t balance on one leg for 10 seconds have an 84% greater chance of dying within the next 10 years. I’ve known about this for many years but this is the first time I’ve read about a long-term study that confirms it. The study… 3 min read Published in Build Your Wealth ·2 days ago YouTube is even recommending them —  Over recent months YouTube has recommended countless crypto scam videos to me. It’s pretty shocking that they don’t appear to make much effort to stop them. I’ve reported around 30–40 of them. I’ve now given up doing that because I never get a response. … 3 min read"
40,Angry.," 854 Followers Published in Songstories ·Pinned An upbeat song most people bop along to, just makes me sad —  Dance for me, dance for me, dance for me, oh, oh, oh
I’ve never seen anybody do the things you do before
They say move for me, move for me, move for me, ay, ay, ay
And when you’re done I’ll make you do it all again It’s funny, I… 11 min read Published in QuickTalk ·Pinned A lifelong journey to something that might be happiness… —  When I look in the mirror, I see someone I don’t recognize anymore. 10 years old — the reflection of a miserable lost child. Staring at myself endlessly in a dorm room mirror. Why am I here? How can I tell them that I don’t want to be? Doesn’t matter… 6 min read Published in Promptly Written ·Pinned Failure is his own worst enemy —  “Stay on the ground, Courtney, you’re dead.” Agent Morris stared down at me, his dirty shoe on my hip. He wasn’t pressing his foot down but the disappointment in his eyes was worse than any stomp I could imagine. He shook his head and walked away from me. “What were… 7 min read Published in Pet Talks ·Pinned The Do’s and Do Not’s of Pet Health Care —  Dear Pet Parents, If you’re reading this, you already know that I’m a vet tech and you probably did before you even saw the title. After all, this is my column, all about your pet’s health. Let me start by saying that I love my job. It’s not an easy… 8 min read 16 hours ago Of course, I’m angry! Wouldn’t you be? —  Roar. Or something. Recently, there was a comment on one of my pieces about my past about how angry I sound. The comment didn’t bother me, it was accurate and not meant in a malicious way. I’m not writing this to insult the person who wrote it. I’m writing it… 8 min read 18 hours ago It’s gonna be a long one. —  Dear Readers, I am writing to you on my last day off until next Tuesday. I have written before about my work schedule. I work 12-hour days with a one-hour break (if there’s time — sometimes I just work 12 hours straight) five days a week. But rarely in a… 4 min read Published in Songstories ·19 hours ago Yup. I’m writing to a cat. Who hates me. —  I guess it’s weird to write a piece surrounding a love song about a cat. Well, it’s really only weird if you don’t know me that well. If you read my body of work… or any portion of it… you will quickly realize that I like animals more than humans… 6 min read Published in Pet Talks ·20 hours ago Fleas. —  Dear Pet Parents of Medium, I decided to stop numbering my letters after part ten because it was getting hard to remember where I left off. We’ve talked about the importance of preventatives before but as we continue on our summer series, fleas seem like a super important thing to… 9 min read Published in Songstories ·2 days ago A love song for my husband —  I actually sang this song to my husband the night before our wedding. What most people would call a “rehearsal dinner”, we decided to call a GAME NIGHT. We played trivia and had a scavenger hunt and it all culminated in a pizza party in a hotel room with karaoke. … 9 min read 2 days ago I don’t usually respond. Here’s why. —  I read and appreciate every single comment left on every single piece that I write. I usually read them first in my email… depending on what time they’re posted. But this is a typical day for me: Alarm goes off and I roll over and glare at it because I… 6 min read"
41,Do This To Make More Money With A Few Articles," 16.8K Followers Published in Write To Inspire ·16 hours ago I am already enjoying the process —  Who says you need to publish multiple times a day to be able to make money? I am not sure about other platforms and personal blogs, but Medium is different. Here you can publish as many or as few times as you want and the best part is that no… 3 min read Published in Write To Inspire ·Jun 8 It is very easy if you remember a couple of things —  We have to accept the fact that Medium has eased the lives of many writers. Some are earning thousands of bucks and are gaining hundreds of followers. Also, there is a group of content creators that earn pennies and they remain frustrated. They think that this site is not worth… 3 min read Published in Write To Inspire ·May 28 It’s time to make the right decision —  So many newcomers who want to earn huge amounts writing on Medium think that taking a writing course is compulsory or that without it, they will make pennies and will never be able to build audiences. To some extent, it is true that you need someone’s support and guidance to… 3 min read Published in Write To Inspire ·May 25 Earn up to $20 a day —  We are looking for a digital/social media marketer and professional lead generator. The person will be hired for a long-term project in which he/she must meet the monthly sales target. For every successful sale, we will send you $2 to $20 depending on what the customer has bought. If interested… 1 min read We are looking for a digital/social media marketer and professional lead generator. The person will be hired for a long-term project in which he/she must meet the monthly sales target. For every successful sale, we will send you $2 to $20 depending on what the customer has bought. If interested… -- -- 1 Published in Write To Inspire ·May 18 Get your voice heard and make decent money —  Do you think your voice is not being heard? Do you want the world to know that you are a proficient writer and can be hired at good rates? If it is so, you have reached the right page. Technology has made it easy for us to find jobs and… 3 min read Published in Write To Inspire ·May 11 This is for those who are tired of writing —  Is it actually possible to make $100 a day by watching videos? One of my fellows asked me this question and my answer was ‘yes.’ There are times when we get really tired of writing. We feel bored whenever we try to write something. Creative ideas don’t come to our… 3 min read Published in Write To Inspire ·May 3 Be ready to make extra money —  The idea of making an extra $100 daily looks good to all of us. Am I right? Well, the best thing is that you don’t need to sit before the computer for hours because you can earn this much by writing only one story. It now depends on you how… 3 min read Published in Write To Inspire ·Apr 27 It is important for your survival on the platform —  Medium is one of my favorite writing sites. It has changed the way I earn money from the comfort of my home. In the past, I tried my luck at various marketplaces, content mills, job boards, and different companies but the results were not satisfactory. I used to write content… 3 min read Published in Write To Inspire ·Apr 19 Success can be achieved at any point of life —  I have been writing on Medium for so many months. I have self-published every single story. Some of my articles have been curated, while others have been ignored. It doesn’t affect my earnings. Thank you Medium for being so loving, caring, and supportive! The truth is that Medium cares for… 3 min read Published in Write To Inspire ·Apr 15 Here’s a surprise for you —  Hello Everyone, I and my co-writer Kiran Yasmin have started a Medium writing course. If you are new to the site and want to make Medium your primary source of income, you can find a lot of information. Buy the Course Here and Get Started. 1 min read Hello Everyone, I and my co-writer Kiran Yasmin have started a Medium writing course. If you are new to the site and want to make Medium your primary source of income, you can find a lot of information. Buy the Course Here and Get Started. -- --"
42,Younger Generations Are Poorer Than Their Parents…," 248 Followers 9 hours ago The world and its trends are changing. We are seeing our world be destroyed with our own eyes. As society advances, it is assumed that each generation would live happier lives, but this trend has changed. The younger generations of today won’t live as well as their parents and this… 9 min read Jun 16 Hello everyone! I wanted to go over with you guys my statistics on Medium as of June 15th, but first some background information. I joined Medium on January 3, 2022 I published one story in January and left for 5 months (lol) This week I started using Medium like a… 2 min read Jun 14 Douglas Rushkoff You made some good points, but I'd stiill rather have stuff for cheap :D 1 min read You made some good points, but I'd stiill rather have stuff for cheap :D -- -- Jun 14 Today I’ll be discussing an irrefutable fact. We are running out of fresh water. We are in such a bad position that by 2025, two-thirds of the world’s population may be facing water scarcity. This is a horrifying statistic that will have dire consequences, far more than typical dehydration. Freshwater… 4 min read Jun 13 Hello Everyone! Before reading any further I would ask you to consider following me since I’m relatively new and don’t have that big of a following. Thank you for reading this :D So if you are here you probably want to know how I entered the Medium Partner Program in… 3 min read Jun 10 This is going to be somewhat of a controversial topic and I would really appreciate it if you guys give me some of your opinions in the comments below :D Alright, first off, I’ll explain what has happened recently. A few days ago we have seen an explosion in AI… 2 min read Jan 3 LuxuryPandz is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to amazon.com This year I wanted to try out some perfumes that Chanel had to offer me, and I decided… 3 min read"
43,Oh No! Not another recession.," 4 Followers 1 day ago It seems every few months we have record-breaking numbers in our economy. One week we’re celebrating all-time highs, the next week the CEO of JP Morgan is giving his outlook on the likelihood of entering a recession. Wall Street thrives on volatility by undertaking huge risks which seek even bigger… 3 min read"
44,10 Seconds That Changed My Relationship With Alcohol Forever," 7K Followers Published in In Fitness And In Health ·Pinned Let your actions defend you, not your words —  There’s something stupidly simple about exercise. For all its variety and variation, it really comes down to one simple idea: taking action. You can plan and program and prepare until you’re blue in the face. You can establish your goals and hone your vision. … 4 min read Published in In Fitness And In Health ·15 hours ago Life isn’t fair. You’ve heard this time and time again. Some people have all the advantages. Others have all the talent. A select few have both. Chances are you don’t fall into any of these categories, and that’s a frustrating place to be. But that doesn’t mean you aren’t able… 4 min read 1 day ago My phone buzzes on the table next to me. It’s a text from my girlfriend. “When you get here, remember to park on the street behind the house.” Today is her dad’s surprise birthday party. He’ll be sixty next week. I’m due over there at 11 am to help with… 3 min read Published in In Fitness And In Health ·3 days ago Most folks have a basic understanding of what it takes to get fit. Eat right, get enough sleep, move some weight, move yourself and recover as needed. It’s not rocket science. Less apparent is what not to do. Some things are obvious — cigarettes are bad, too much sugar causes… 5 min read Published in In Fitness And In Health ·6 days ago We’ve completely bastardized the way we do fitness. Like everything else we put a box around it. Crammed it into the scope of our strictly regulated lives. Just another item on the to-do list. One more thing between us and bedtime’s sweet embrace. And what has that given us? Heart… 3 min read Jun 14 Chances are you’ve been put in the “friend zone” at some point in your dating history. Living and dating in a major city has given me ample opportunity to meet new and interesting women from all walks of life. It’s also given me ample opportunity to be ghosted, left on… 7 min read Published in In Fitness And In Health ·Jun 10 Push your limits, push yourself —  Mile after mile I trudged through the dirt. It was a steamy Saturday afternoon on July 10th, 2021. I was blanketed in mud and grime. There was so much salt caked around my eyes I could barely blink. It was difficult to tell where my shirt ended and skin began. … 4 min read Published in In Fitness And In Health ·Jun 8 I’ll be thirty-five next month. This milestone seems more important than years prior. I haven’t figured out why just yet, but it’s gotten my wheels turning. I’ve made many mistakes and learned many things over the years, especially in the health and fitness realm. I took a little time to… 5 min read Published in In Fitness And In Health ·Jun 6 A follow-up to “The Fittest People I Know Maintain These 4 Habits” —  We’ve previously discussed good habits of the fittest people I know. Apparently it struck a chord, so let’s continue the conversation. Here are 4 things those people don’t do. They don’t train to excess The fittest people I know don’t train all day everyday. They ease off the gas quite often, incorporating “rest days” and… 4 min read Published in In Fitness And In Health ·Jun 3 Here’s how to create one and change your life. —  There is no magic bullet for getting fit. Fitness is built over months and years, one step at a time. You are not a runner or a yogi or a swimmer, you are a bricklayer. You break your back under the hot sun to get the job done. Progress is… 4 min read"
45,What You Discover When a Good Friend is Gone Too Soon," 964 Followers Published in Publishous ·Pinned And how to make them last longer. —  How many weeks does the average person live? Maybe your first thought is way up there, like 150k weeks, 70k weeks for sure. Believe it or not, it's much less than you'd think. Oliver Burkeman asked this question to a host of people for his book Four Thousand Weeks: Time… 7 min read Published in Creative Passions ·Pinned Here’s one undeniable way to discover yours. —  You’re looking to find purpose—a reason to get up in the morning or a career to fulfill your heart and soul. I know the feeling. You try this and try that for a little while, only to be disappointed you don’t fall in love right away. “When will my calling… 4 min read Published in Publishous ·Pinned And how to put them into practice. —  Discovering what you need to improve your life and then taking steps to actually do it are two different things entirely. No one would argue values like practicing self-love, having confidence, and pride in yourself are essential for a fulfilling life. So, why can’t most of us figure out how… 6 min read Pinned It’s about more than feeling grateful to be alive. —  This article isn’t just about how precious life is—you know that already. Going through the experience I’m about to tell you that happened because of my own lousy judgment helped me discover how to look at life and might help you too. Here’s what started me down this road. One… 5 min read Pinned Her “Blaccent” needs to go, but should I cancel her? —  When I watched Awkwafina, aka Nora Lum, in the film Crazy Rich Asians, I laughed and thought the outlandish character she played using a New York-style “Blaccent” was a lot of fun as long as it was for that character alone. Surely, she wouldn’t continue playing roles as an Asian… 4 min read 8 hours ago At only 47 years old, his life was over in an instant —  Imagine going to sleep and never waking up. Your daughter is wondering why you’re sleeping so late on a Monday holiday and not moving when poked and prodded. One of my best friends for almost thirty years passed away recently in his sleep, and it rocked me to the core… 6 min read Published in Publishous ·6 days ago The power of producing for others can change your life for the better. —  In the 1930s, thousands of people lined up to view the Dionne Quintuplets on display in a hospital nursery in Ontario, Canada. Back then, no one knew having five babies at one time was possible—they had to see it to believe it. The Canadian government passed a bill making the… 6 min read Published in Coffee Times ·Jun 16 Be honest. Would you do what it takes to be as good? —  Success is easy for them. They're naturally talented and famous. Why couldn't I be born with such exceptional skills? I bet that's what you're thinking when reading a book by an author you admire or watching an actor play their role superbly, and it fills you with admiration. Perhaps, even… 4 min read Published in Creative Passions ·Jun 4 And 3 ways to love the fundamentals and master your craft when you’re older. —  “I don’t need to practice [insert art skill]. This is just my personal style.” How many times have I heard that from my art students? Way too many times. If you want to get good, you have to learn to love practicing the fundamental skills of your craft when you’re… 6 min read Published in Coffee Times ·May 29 This is what it takes to get where you want to be. —  Don’t be fooled by quick and easy success stories. Making it big takes a lot of hard work. It’s even more hard work than you think because success involves getting out of your own way. I know you want to believe you can stay the same, and luck will bless… 5 min read"
46,The pressure to act maturely nibbles on my mental peace," 378 Followers 1 day ago No, I will not understand and I am not mature. I am also not sorry. Mature, the supreme, ever prime, all-encompassing personality trait is probably giving you anxiety and you don’t even know it. Society benefits from restraining individual expression, stenciling reactions, promoting predictability in human behaviour, and demanding that… 3 min read Jun 10 My made-up stories from Italy It’s 8:30 am. From all my observations I must say, Indians are very productive travellers. They plan their travels abroad to each breath. Catch the bus at 0700. Reach place by 0743. Oh, the bus is 2 minutes late? Will have to compensate by taking… 12 min read May 18 Everything you’re not wilfully tending to is going down the drain “I am going to Italy next week.” I told my husband. “Oh, nice. How long for?” “16 days!” “Oh, big trip. Have fun!” “You know you should come.” “I should but you know I hate travelling purposelessly. I’ll stay… 6 min read May 17 If you start liking someone, just block them “I am going to be in Bombay tomorrow.” I texted him. “Oh, finally. How come?” “Work only. But I’ll see you.” “Where do you want to go?” “We’ll see if I actually make it. I have to be in Navi Mumbai.” “Hectic.” … 8 min read May 9 Change my mind. You can’t. This title may be clickbait-y and I do not hate the rich. As controversial as it may sound, the rich people have managed to create a life for themselves through hard work or ancestral privilege and I know it’s not always fair, but nothing is… 3 min read Apr 21 Calm, happy & at ease Depriving myself of the pleasure of enjoying the mainstream music, shows and books in the relentless pursuit of uniqueness Assessing people’s socio-economic backgrounds before I become friends with them; treating people as social capital Undermining local languages and taking pride in being subpar at them … 1 min read Apr 18 I mean if pissing is acceptable… As an accepted social norm, we are taught to hide the troughs of our lives — strained familial relations, professional failure, emotional distress, physical and mental illness, weaknesses, and sadness. Charles Darwin once declared emotional tears “purposeless,” and nearly 150 years later, emotional crying… 4 min read Apr 2 Why Bukowski’s So You Want To Be a Writer & similar writing is full crap Everyone hates Charles Bukowski for several reasons but we all must agree his writing was bold, moving, and relatable? If you agree with the relatable part, you should exit this page right about now. … 3 min read Mar 2 And you shall have the pleasure of me feeding it to you We have never had the culture of a full dining table. Eating in my home means assembling the plate and finding a spot in the house, very often in front of the tv or the ceremonial family dining… 2 min read Feb 28 Everyone wants a dog, only a few can raise one I am proud to announce that I am an adult and I really look forward to my birthday. I understand that it’s nothing too special but these dates, artificially created events really help to get by life. … 5 min read"
47,The nature of life is suffering.," 521 Followers Published in Love And Marriage ·3 hours ago It’s not that you try to be nice to a person, and that person will love you desperately. When I was young, I found out that the world is unfair, and later I felt that the world was inherently unfair, but unfairness is also a good thing, and it will… 3 min read Published in Love And Marriage ·5 hours ago Hesitating between work and poverty. For ordinary people, 80% of the pain in life comes from work, but if you don’t work, 100% of the pain comes from lack of money. So between work and no money, the only choice is to go to work. Because work can ensure basic… 2 min read Published in Quality life ·1 day ago Being useful to others is your value. Will anyone scold me when I say that any relationship in this world is to use and be used by others? Probably as we grow older, as we experience more and more things, we suddenly discover that the relationship and communication between people… 3 min read Published in Quality life ·2 days ago Early retirement at 40 is no miracle. There are many ways to become rich. One of them is detailed here, and it consists of the following 4 strategies: 1. Save a certain percentage of your money. Invest a portion of your monthly income, don’t spend it all, or you’ll never get out of poverty. Why do you with a high income still have no money like the others with a low income?
The reason you don’t have a deposit.medium.com 3 min read Published in Quality life ·2 days ago Health, finances, relationships, emotions and meaning in life. There are 5 areas of our lives: health, finances, relationships, emotions and meaning in life. All five areas are equally important. A deficiency in one area will negatively affect several others. What’s the point of earning more money without your health? There… 3 min read Published in Quality life ·6 days ago Why are there poor people in non-poor countries? This article is about the poor in non-poor countries. For people in war-torn and backward countries and regions, many people cannot help themselves. We can only sympathize with them. Many times they really cannot change their situation. The same is true for… 3 min read Published in Quality life ·Jun 15 Why are you poor? 1. People react differently to money Money is a touchy subject, and people have two reactions when it comes to money. Positive reactions such as: will be excited to say, want to make money, want to be financially successful. Negative reactions such as: seeing money as a source of evil, despising money… 4 min read Published in Quality life ·Jun 15 The reason you don’t have a deposit. Before I start, I want to ask you a question, what kind of work do you do? What is the income? So who can tell me now that his account is rich, not short of money? I think 98% of people are very… 4 min read Published in Love And Marriage ·Jun 13 How to make a woman marry you? No matter what era it is, falling in love is something that young people love to see and hear. In a way, human beings exist for love. In love, it is often the man who pursues the woman. This is a law in… 4 min read Published in Quality life ·Jun 9 Efforts in two different ways. Some people work hard, run every day, read books, and stick to what they think is right. Someone worked hard and set a measurable standard, for example, how many articles were written, how many books were read, how many applauses, responses, and how many followers… 2 min read"
